pCO2,cCO2
0.133322,-nan
0.199316,-nan
0.265311,-nan
0.331305,-nan
0.3973,-nan
0.463294,-nan
0.529288,-nan
0.595283,-nan
0.661277,-nan
0.727272,0.0128061
0.793266,0.0131189
0.85926,0.0134182
0.925255,0.0137055
0.991249,0.0139819
1.05724,0.0142484
1.12324,0.0145059
1.18923,0.0147551
1.25523,0.0149968
1.32122,0.0152313
1.38722,0.0154593
1.45321,0.0156812
1.5192,0.0158974
1.5852,0.0161082
1.65119,0.0163139
1.71719,0.0165149
1.78318,0.0167114
1.84918,0.0169037
1.91517,0.0170919
1.98116,0.0172763
2.04716,0.0174571
2.11315,0.0176344
2.17915,0.0178083
2.24514,0.0179791
2.31114,0.0181469
2.37713,0.0183118
2.44313,0.0184738
2.50912,0.0186333
2.57511,0.0187901
2.64111,0.0189444
2.7071,0.0190964
2.7731,0.0192461
2.83909,0.0193936
2.90509,0.0195389
2.97108,0.0196821
3.03708,0.0198234
3.10307,0.0199627
3.16906,0.0201002
3.23506,0.0202358
3.30105,0.0203697
3.36705,0.0205019
3.43304,0.0206324
3.49904,0.0207614
3.56503,0.0208887
3.63102,0.0210146
3.69702,0.0211389
3.76301,0.0212619
3.82901,0.0213834
3.895,0.0215036
3.961,0.0216224
4.02699,0.02174
4.09299,0.0218563
4.15898,0.0219714
4.22497,0.0220853
4.29097,0.022198
4.35696,0.0223095
4.42296,0.02242
4.48895,0.0225294
4.55495,0.0226376
4.62094,0.0227449
4.68693,0.0228511
4.75293,0.0229564
4.81892,0.0230606
4.88492,0.0231639
4.95091,0.0232663
5.01691,0.0233678
5.0829,0.0234683
5.1489,0.023568
5.21489,0.0236668
5.28088,0.0237648
5.34688,0.0238619
5.41287,0.0239583
5.47887,0.0240538
5.54486,0.0241486
5.61086,0.0242426
5.67685,0.0243358
5.74285,0.0244283
5.80884,0.0245201
5.87483,0.0246111
5.94083,0.0247015
6.00682,0.0247912
6.07282,0.0248801
6.13881,0.0249685
6.20481,0.0250562
6.2708,0.0251432
6.33679,0.0252296
6.40279,0.0253154
6.46878,0.0254006
6.53478,0.0254851
6.60077,0.0255691
6.66677,0.0256525
6.73276,0.0257353
6.79876,0.0258176
6.86475,0.0258993
6.93074,0.0259805
6.99674,0.0260611
7.06273,0.0261412
7.12873,0.0262207
7.19472,0.0262998
7.26072,0.0263783
7.32671,0.0264564
7.3927,0.0265339
7.4587,0.026611
7.52469,0.0266876
7.59069,0.0267637
7.65668,0.0268394
7.72268,0.0269146
7.78867,0.0269893
7.85467,0.0270636
7.92066,0.0271375
7.98665,0.0272109
8.05265,0.0272839
8.11864,0.0273565
8.18464,0.0274286
8.25063,0.0275004
8.31663,0.0275717
8.38262,0.0276427
8.44862,0.0277132
8.51461,0.0277833
8.5806,0.0278531
8.6466,0.0279225
8.71259,0.0279915
8.77859,0.0280601
8.84458,0.0281284
8.91058,0.0281963
8.97657,0.0282639
9.04256,0.0283311
9.10856,0.0283979
9.17455,0.0284644
9.24055,0.0285306
9.30654,0.0285964
9.37254,0.0286619
9.43853,0.0287271
9.50453,0.0287919
9.57052,0.0288564
9.63651,0.0289206
9.70251,0.0289845
9.7685,0.0290481
9.8345,0.0291113
9.90049,0.0291743
9.96649,0.0292369
10.0325,0.0292993
10.0985,0.0293614
10.1645,0.0294232
10.2305,0.0294846
10.2965,0.0295458
10.3625,0.0296068
10.4284,0.0296674
10.4944,0.0297278
10.5604,0.0297879
10.6264,0.0298477
10.6924,0.0299073
10.7584,0.0299666
10.8244,0.0300256
10.8904,0.0300844
10.9564,0.0301429
11.0224,0.0302011
11.0884,0.0302592
11.1544,0.0303169
11.2204,0.0303744
11.2864,0.0304317
11.3524,0.0304888
11.4184,0.0305456
11.4844,0.0306021
11.5504,0.0306584
11.6163,0.0307145
11.6823,0.0307704
11.7483,0.030826
11.8143,0.0308814
11.8803,0.0309366
11.9463,0.0309916
12.0123,0.0310463
12.0783,0.0311009
12.1443,0.0311552
12.2103,0.0312093
12.2763,0.0312632
12.3423,0.0313169
12.4083,0.0313703
12.4743,0.0314236
12.5403,0.0314767
12.6063,0.0315295
12.6723,0.0315822
12.7383,0.0316347
12.8042,0.0316869
12.8702,0.031739
12.9362,0.0317909
13.0022,0.0318426
13.0682,0.0318941
13.1342,0.0319454
13.2002,0.0319966
13.2662,0.0320475
13.3322,0.0320983
