pO2,pCO2,f1,f2
50,59.6,-0.020123,0.0900376
50,59.8,-0.020215,0.0907931
50,60,-0.020307,0.0915466
50,60.2,-0.0203988,0.0922982
50,60.4,-0.0204905,0.0930478
50,60.6,-0.020582,0.0937955
50,60.8,-0.0206733,0.0945412
50,61,-0.0207645,0.095285
50,61.2,-0.0208556,0.096027
50,61.4,-0.0209466,0.096767
50,61.6,-0.0210373,0.0975052
50,61.8,-0.021128,0.0982414
50,62,-0.0212185,0.0989758
50,62.2,-0.0213088,0.0997084
50,62.4,-0.021399,0.100439
50,62.6,-0.0214891,0.101168
50,62.8,-0.021579,0.101895
50,63,-0.0216687,0.10262
50,63.2,-0.0217584,0.103344
50,63.4,-0.0218478,0.104065
50,63.6,-0.0219372,0.104785
50,63.8,-0.0220263,0.105503
50,64,-0.0221154,0.10622
50,64.2,-0.0222043,0.106934
50,64.4,-0.022293,0.107647
50,64.6,-0.0223816,0.108358
50,64.8,-0.0224701,0.109067
50,65,-0.0225584,0.109775
50,65.2,-0.0226466,0.110481
50,65.4,-0.0227346,0.111185
50,65.6,-0.0228225,0.111887
50,65.8,-0.0229102,0.112588
50,66,-0.0229978,0.113287
50,66.2,-0.0230853,0.113984
50,66.4,-0.0231726,0.11468
50,66.6,-0.0232598,0.115374
50,66.8,-0.0233468,0.116066
50,67,-0.0234337,0.116757
50,67.2,-0.0235204,0.117446
50,67.4,-0.023607,0.118134
50,67.6,-0.0236935,0.11882
50,67.8,-0.0237798,0.119504
50,68,-0.0238659,0.120187
50,68.2,-0.023952,0.120868
50,68.4,-0.0240378,0.121547
50,68.6,-0.0241236,0.122225
50,68.8,-0.0242092,0.122901
50,69,-0.0242946,0.123576
50,69.2,-0.0243799,0.124249
50,69.4,-0.0244651,0.124921
50,69.6,-0.0245501,0.125591
50,69.8,-0.024635,0.12626
50,70,-0.0247198,0.126927
50.45,30,-0.00444738,-0.0524285
50.45,30.2,-0.0045568,-0.0511765
50.45,30.4,-0.00466614,-0.0499303
50.45,30.6,-0.00477539,-0.0486898
50.45,30.8,-0.00488455,-0.047455
50.45,31,-0.00499362,-0.0462258
50.45,31.2,-0.00510261,-0.0450022
50.45,31.4,-0.00521151,-0.0437841
50.45,31.6,-0.00532032,-0.0425714
50.45,31.8,-0.00542904,-0.0413641
50.45,32,-0.00553767,-0.0401622
50.45,32.2,-0.0056462,-0.0389655
50.45,32.4,-0.00575464,-0.0377741
50.45,32.6,-0.00586299,-0.0365879
50.45,32.8,-0.00597124,-0.0354068
50.45,33,-0.00607939,-0.0342308
50.45,33.2,-0.00618745,-0.0330598
50.45,33.4,-0.00629541,-0.0318939
50.45,33.6,-0.00640327,-0.0307329
50.45,33.8,-0.00651102,-0.0295768
50.45,34,-0.00661868,-0.0284255
50.45,34.2,-0.00672624,-0.0272791
50.45,34.4,-0.00683369,-0.0261375
50.45,34.6,-0.00694104,-0.0250005
50.45,34.8,-0.00704828,-0.0238683
50.45,35,-0.00715542,-0.0227407
50.45,35.2,-0.00726246,-0.0216177
50.45,35.4,-0.00736939,-0.0204992
50.45,35.6,-0.00747621,-0.0193853
50.45,35.8,-0.00758292,-0.0182759
50.45,36,-0.00768952,-0.0171709
50.45,36.2,-0.00779602,-0.0160703
50.45,36.4,-0.0079024,-0.0149741
50.45,36.6,-0.00800867,-0.0138822
50.45,36.8,-0.00811483,-0.0127946
50.45,37,-0.00822088,-0.0117112
50.45,37.2,-0.00832682,-0.0106321
50.45,37.4,-0.00843264,-0.00955713
50.45,37.6,-0.00853835,-0.00848632
50.45,37.8,-0.00864394,-0.00741963
50.45,38,-0.00874942,-0.00635702
50.45,38.2,-0.00885478,-0.00529846
50.45,38.4,-0.00896002,-0.00424391
50.45,38.6,-0.00906515,-0.00319334
50.45,38.8,-0.00917015,-0.00214671
50.45,39,-0.00927504,-0.00110401
50.45,39.2,-0.00937981,-6.5183e-05
50.45,39.4,-0.00948446,0.000969787
50.45,39.6,-0.00958899,0.00200094
50.45,39.8,-0.0096934,0.00302829
50.45,40,-0.00979769,0.00405188
50.45,40.2,-0.00990186,0.00507175
50.45,40.4,-0.0100059,0.0060879
50.45,40.6,-0.0101098,0.00710039
50.45,40.8,-0.0102136,0.00810922
50.45,41,-0.0103173,0.00911444
50.45,41.2,-0.0104208,0.0101161
50.45,41.4,-0.0105243,0.0111141
50.45,41.6,-0.0106276,0.0121087
50.45,41.8,-0.0107307,0.0130997
50.45,42,-0.0108338,0.0140872
50.45,42.2,-0.0109367,0.0150713
50.45,42.4,-0.0110395,0.016052
50.45,42.6,-0.0111422,0.0170292
50.45,42.8,-0.0112447,0.0180031
50.45,43,-0.0113471,0.0189736
50.45,43.2,-0.0114494,0.0199408
50.45,43.4,-0.0115515,0.0209046
50.45,43.6,-0.0116535,0.0218652
50.45,43.8,-0.0117554,0.0228226
50.45,44,-0.0118572,0.0237767
50.45,44.2,-0.0119588,0.0247275
50.45,44.4,-0.0120603,0.0256752
50.45,44.6,-0.0121617,0.0266198
50.45,44.8,-0.0122629,0.0275612
50.45,45,-0.012364,0.0284994
50.45,45.2,-0.012465,0.0294346
50.45,45.4,-0.0125658,0.0303667
50.45,45.6,-0.0126665,0.0312957
50.45,45.8,-0.0127671,0.0322217
50.45,46,-0.0128675,0.0331447
50.45,46.2,-0.0129678,0.0340647
50.45,46.4,-0.013068,0.0349818
50.45,46.6,-0.013168,0.0358958
50.45,46.8,-0.0132679,0.036807
50.45,47,-0.0133677,0.0377152
50.45,47.2,-0.0134673,0.0386205
50.45,47.4,-0.0135668,0.039523
50.45,47.6,-0.0136662,0.0404226
50.45,47.8,-0.0137654,0.0413194
50.45,48,-0.0138645,0.0422133
50.45,48.2,-0.0139634,0.0431045
50.45,48.4,-0.0140622,0.0439929
50.45,48.6,-0.0141609,0.0448785
50.45,48.8,-0.0142595,0.0457614
50.45,49,-0.0143579,0.0466415
50.45,49.2,-0.0144561,0.047519
50.45,49.4,-0.0145542,0.0483938
50.45,49.6,-0.0146522,0.0492658
50.45,49.8,-0.0147501,0.0501353
50.45,50,-0.0148478,0.0510021
50.45,50.2,-0.0149453,0.0518662
50.45,50.4,-0.0150428,0.0527278
50.45,50.6,-0.0151401,0.0535868
50.45,50.8,-0.0152372,0.0544432
50.45,51,-0.0153342,0.0552971
50.45,51.2,-0.0154311,0.0561484
50.45,51.4,-0.0155278,0.0569972
50.45,51.6,-0.0156244,0.0578435
